name,typeString,addressLineOne,addressLineTwo,city,state,zipFive,zipFour,county,isPoBoxLocation,phone,drivingDirectionsLink,grantNumber,delegateNumber,programName,programAddressLineOne,programAddressLineTwo,programCity,programState,programZipFive,programZipFour,programCounty,programPhone,programRegistrationPhone,latitude,longitude
Williams (Garvey),,2444 Del Mar Ave,,Rosemead,CA,91770,3020,Los Angeles County,,(626) 307-3306,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 307-3306,(626)307-3396,34.0566,-118.0994
Dewey (Garvey),,525 Dewey Ave,,San Gabriel,CA,91776,3901,Los Angeles County,,(626) 927-5991,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 927-5991,(626)307-3396,34.078,-118.0934
Bitely (Garvey),,7501 Fern Ave,,Rosemead,CA,91770,2922,Los Angeles County,,(626) 569-1590,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 569-1590,(626)307-3396,34.0599,-118.1048
Hillcrest (Garvey),,795 Pepper St,,Monterey Park,CA,91755,5715,Los Angeles County,,(626) 927-5891,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 927-5891,(626)307-3396,34.0465,-118.1095
Duff (Garvey),,7830 Dorothy St,,Rosemead,CA,91770,2332,Los Angeles County,,(626) 307-3396,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 307-3396,(626)307-3396,34.068,-118.0991
Willard (Garvey),,3152 Willard Ave,,Rosemead,CA,91770,2758,Los Angeles County,,(626) 927-5290,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 927-5290,(626)307-3396,34.0627,-118.0835
Baker School (Mt. View),,12043 Exline St,,El Monte,CA,91732,2711,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0663,-118.0157
Maxson School (Mt. View),,12380 Felipe St,,El Monte,CA,91732,3694,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0505,-118.0205
Payne (Mt. View),,2850 Mountain View Rd,,El Monte,CA,91732,3522,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0614,-118.0219
Cogswell (Mt. View),,11050 Fineview St,,South El Monte,CA,91733,2817,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0543,-118.0344
Monte Vista School (Mt. View),,11111 Thienes Ave,,South El Monte,CA,91733,4005,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0453,-118.0352
Children's Center (Mt. View),,2109 Burkett Rd,,El Monte,CA,91733,4113,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0445,-118.024
Parkview Head Start (Mt. View),,12044 Elliott Ave,,El Monte,CA,91732,3743,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0564,-118.0243
Miramonte (Mt. View),,10620 Schmidt Rd,,South El Monte,CA,91733,2702,Los Angeles County,,(626) 652-4250,,09CH011157,8,Mountain View Head Start Preschool,2109 Burkett Rd.,,El Monte,CA,91733,4113,Los Angeles County,(626) 652-4250,(626)652-4250,34.0569,-118.0401
Magnolia (Para Los Ninos),,2828 W Magnolia Blvd,,Burbank,CA,91505,3036,Los Angeles County,,(213) 250-4800,,09CH011157,14,Para Los Ninos,5000 Hollywood Blvd, ,Los Angeles,CA,90027,6104,Los Angeles County,(213) 250-4800,(213)250-4800 - 601,34.1704,-118.3383
Hollywood (Para Los Ninos),,5000 Hollywood Blvd,,Los Angeles,CA,90027,6104,Los Angeles County,,(213) 250-4800,,09CH011157,14,Para Los Ninos,5000 Hollywood Blvd, ,Los Angeles,CA,90027,6104,Los Angeles County,(213) 250-4800,(213)250-4800 - 601,34.1012,-118.299
Cypress (Para Los Ninos),,1145 Cypress Ave,,Los Angeles,CA,90065,1110,Los Angeles County,,(213) 250-4800,,09CH011157,14,Para Los Ninos,5000 Hollywood Blvd, ,Los Angeles,CA,90027,6104,Los Angeles County,(213) 250-4800,(213)250-4800 - 601,34.0948,-118.2265
Perlita (Para Los Ninos),,4118 Chevy Chase Dr,,Los Angeles,CA,90039,1253,Los Angeles County,,,,09CH011157,14,Para Los Ninos,5000 Hollywood Blvd, ,Los Angeles,CA,90027,6104,Los Angeles County,,(213)250-4800 - 601,34.1331,-118.2683
Caruso (Para Los Ninos),,845 E 6th St,,Los Angeles,CA,90021,1026,Los Angeles County,,(213) 250-4800,,09CH011157,14,Para Los Ninos,5000 Hollywood Blvd, ,Los Angeles,CA,90027,6104,Los Angeles County,(213) 250-4800,(213)250-4800 - 601,34.0402,-118.2414
Keck (Para Los Ninos),,1521 W 3rd St,,Los Angeles,CA,90017,1107,Los Angeles County,,(213) 250-4800,,09CH011157,14,Para Los Ninos,5000 Hollywood Blvd, ,Los Angeles,CA,90027,6104,Los Angeles County,(213) 250-4800,(213)250-4800 - 601,34.0599,-118.2651
Kennedy Head Start (ABC),,17500 Belshire Ave,,Artesia,CA,90701,4352,Los Angeles County,,(562) 229-7935,,09CH011157,4,ABC Unified School District,11011 Artesia Blvd.,,Cerritos,CA,90703,-1,Los Angeles County,(562) 229-7935,(562)229-7985,33.8722,-118.0707
Willow Head Start (ABC),,11733 205th St,,Lakewood,CA,90715,1324,Los Angeles County,,(562) 229-7953,,09CH011157,4,ABC Unified School District,11011 Artesia Blvd.,,Cerritos,CA,90703,-1,Los Angeles County,(562) 229-7953,(562)229-7985,33.8442,-118.0835
Carver Head Start (ABC),,19200 Ely Ave,,Cerritos,CA,90703,7157,Los Angeles County,,(562) 229-7933,,09CH011157,4,ABC Unified School District,11011 Artesia Blvd.,,Cerritos,CA,90703,-1,Los Angeles County,(562) 229-7933,(562)229-7985,33.8736,-118.0695
Niemes Head Start (ABC),,16715 Jersey Ave,,Artesia,CA,90701,1750,Los Angeles County,,(562) 229-7958,,09CH011157,4,ABC Unified School District,11011 Artesia Blvd.,,Cerritos,CA,90703,-1,Los Angeles County,(562) 229-7958,(562)229-7985,33.8791,-118.0859
Aloha (ABC),,11737 214th St,,Lakewood,CA,90715,2101,Los Angeles County,,(562) 229-7932,,09CH011157,4,ABC Unified School District,11011 Artesia Blvd.,,Cerritos,CA,90703,-1,Los Angeles County,(562) 229-7932,(562)229-7985,33.835,-118.0843
Melbourne Head Start (ABC),,21314 Claretta Ave,,Lakewood,CA,90715,2301,Los Angeles County,,(562) 229-7931,,09CH011157,4,ABC Unified School District,11011 Artesia Blvd.,,Cerritos,CA,90703,-1,Los Angeles County,(562) 229-7931,(562)229-7985,33.8362,-118.0674
Hawaiian (ABC),,12350 226th St,,Hawaiian Gardens,CA,90716,1721,Los Angeles County,,(562) 229-7921,,09CH011157,4,ABC Unified School District,11011 Artesia Blvd.,,Cerritos,CA,90703,-1,Los Angeles County,(562) 229-7921,(562)229-7985,33.8239,-118.0676
Johnston (Norwalk),,13421 Fairford Ave,,Norwalk,CA,90650,3630,Los Angeles County,,(562) 210-3120,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-3120,(562)210-4205,33.9086,-118.0957
Sanchez (Norwalk),,11960 162nd St,,Norwalk,CA,90650,7228,Los Angeles County,,(562) 210-4321,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-4321,(562)210-4205,33.8843,-118.0781
Ramona (Norwalk),,14616 Dinard Ave,,Norwalk,CA,90650,5110,Los Angeles County,,(562) 210-4205,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-4205,(562)210-4205,33.8985,-118.051
Huerta (Norwalk),,15415 Pioneer Blvd,,Norwalk,CA,90650,6525,Los Angeles County,,(562) 210-4545,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-4545,(562)210-4205,33.8907,-118.0825
Chavez (Norwalk),,12110 Walnut St,,Norwalk,CA,90650,4164,Los Angeles County,,(562) 210-4533,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-4533,(562)210-4205,33.9029,-118.0749
Glazier (Norwalk),,10932 Excelsior Dr,,Norwalk,CA,90650,4631,Los Angeles County,,(562) 210-2936,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-2936,(562)210-4205,33.8946,-118.1023
Foster Road (Norwalk),,13930 Foster Rd,,La Mirada,CA,90638,2820,Los Angeles County,,(562) 210-2798,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-2798,(562)210-4205,33.9093,-118.0341
New River (Norwalk),,13432 Halcourt Ave,,Norwalk,CA,90650,3562,Los Angeles County,,(562) 210-3782,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-3782,(562)210-4205,33.9086,-118.1021
Moffitt (Norwalk),,13323 Goller Ave,,Norwalk,CA,90650,3223,Los Angeles County,,(562) 210-3702,,09CH011157,9,Norwalk-La Mirada Unified School District,14616 Dinard Ave.,,Norwalk,CA,90650,5110,Los Angeles County,(562) 210-3702,(562)210-4205,33.9091,-118.0658
Walnut Park (MAOF),,7818 Pacific Blvd,,Walnut Park,CA,90255,6352,Los Angeles County,,(323) 233-2846,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 233-2846,(323)588-7320,33.9678,-118.2252
Roosevelt Park (MAOF),,7800 Graham Ave,,Los Angeles,CA,90001,2621,Los Angeles County,,(323) 584-1250,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 584-1250,(323)588-7320,33.9682,-118.243
Zoe Center (MAOF),,2650 Zoe Ave,Ste 100,Huntington Park,CA,90255,4190,Los Angeles County,,(323) 586-9084,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 586-9084,(323)588-7320,33.9787,-118.2235
Santa Fe Center (MAOF),,6812 Santa Fe Ave,,Huntington Park,CA,90255,3906,Los Angeles County,,(323) 581-3923,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 581-3923,(323)588-7320,33.9775,-118.2299
Beta Vista (MAOF),,1403 E 21st St,,Los Angeles,CA,90011,1303,Los Angeles County,,(213) 741-6325,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(213) 741-6325,(323)588-7320,34.0211,-118.2494
Bright Starts (MAOF),,905 E 52nd St,,Los Angeles,CA,90011,4603,Los Angeles County,,(323) 233-2846,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 233-2846,(323)588-7320,33.996,-118.2597
Lew Sands Weltor (MAOF),,1010 E 48th St,,Los Angeles,CA,90011,5413,Los Angeles County,,(323) 233-2532,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 233-2532,(323)588-7320,33.9998,-118.258
Lindsay (MAOF),,1584 E Martin Luther King Jr Blvd,,Los Angeles,CA,90011,2235,Los Angeles County,,(323) 233-2839,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 233-2839,(323)588-7320,34.0103,-118.2468
Pico Rivera (MAOF),,9125 Burke St,,Pico Rivera,CA,90660,4609,Los Angeles County,,(532) 949-3189,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(532) 949-3189,(323)588-7320,33.9694,-118.1024
Downey Center (MAOF),,8100 Telegraph Rd,,Downey,CA,90240,2140,Los Angeles County,,(562) 806-5054,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(562) 806-5054,(323)588-7320,33.9679,-118.1171
Central Avenue Center (MAOF),,1001 E Vernon Ave,,Los Angeles,CA,90011,3716,Los Angeles County,,(323) 846-8511,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 846-8511,(323)588-7320,34.0042,-118.2581
Ford (MAOF),,330 S Ford Blvd,,Los Angeles,CA,90022,1806,Los Angeles County,,(323) 264-4333,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 264-4333,(323)588-7320,34.0325,-118.1688
Telegraph (MAOF),,4457 Telegraph Rd,,Los Angeles,CA,90023,2031,Los Angeles County,,(323) 263-9507,,09CH011157,11,Mexican American Opportunity Foundation,2650 Zoe Avenue,,Huntington Park,CA,90255,-1,Los Angeles County,(323) 263-9507,(323)588-7320,34.0185,-118.1752
San Marino (St. Anne's),,3156 San Marino St,,Los Angeles,CA,90006,1410,Los Angeles County,,(213) 201-5866,,09CH011157,15,St. Anne's Family Services,155 N. Occidental Blvd.,,Los Angeles,CA,90026,-1,Los Angeles County,(213) 201-5866,(213)381-2931 - 214,34.0543,-118.2993
S. Mark Taper (St. Anne's),,3322 Beverly Blvd,,Los Angeles,CA,90004,6004,Los Angeles County,,(213) 381-2931,,09CH011157,15,St. Anne's Family Services,155 N. Occidental Blvd.,,Los Angeles,CA,90026,-1,Los Angeles County,(213) 381-2931,(213)381-2931 - 214,34.0732,-118.2851
Buena Park Center,,6725 Dale St,,Buena Park,CA,90621,3687,Orange County,,(714) 521-1909,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 521-1909,(714)241-8920,33.8631,-117.9851
Evelyn Lobo Villegas Center,,32204 Del Obispo St,,San Juan Capistrano,CA,92675,3438,Orange County,,(949) 661-5243,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(949) 661-5243,(714)241-8920,33.4957,-117.6755
Baden Powell Center,,801 S Gaymont St,,Anaheim,CA,92804,3991,Orange County,,(714) 236-4224,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 236-4224,(714)241-8920,33.8233,-117.9908
Jeanne Hardy Center,,17175 Emerald Ln,,Huntington Beach,CA,92647,8702,Orange County,,(714) 842-1221,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 842-1221,(714)241-8920,33.7128,-117.9948
Placentia Center,,840 S Melrose St,,Placentia,CA,92870,6900,Orange County,,(714) 632-8787,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 632-8787,(714)241-8920,33.8604,-117.8742
Walter Center,,9200 W Pacific Pl,,Anaheim,CA,92804,6387,Orange County,,(714) 761-4967,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 761-4967,(714)241-8920,33.8077,-117.9717
Capo Valley Center,,31485 El Camino Real,,San Juan Capistrano,CA,92675,2600,Orange County,,(949) 661-8029,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(949) 661-8029,(714)241-8920,33.5055,-117.6631
Midway,,14900 Park Ln,,Midway City,CA,92655,1128,Orange County,,(714) 241-8920,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 241-8920,(714)241-8920,33.7458,-117.9787
Matt Kline Center,,2043 Meyer Pl,,Costa Mesa,CA,92627,2967,Orange County,,(949) 548-4480,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(949) 548-4480,(714)241-8920,33.6499,-117.9248
Fullerton Center,,341 S Courtney Ave,,Fullerton,CA,92833,3229,Orange County,,(714) 447-3005,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 447-3005,(714)241-8920,33.8659,-117.9642
Katherine Irvine Day School (KIDS) Center,,1002 W 2nd St,,Santa Ana,CA,92703,3929,Orange County,,(714) 541-8164,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 541-8164,(714)241-8920,33.7462,-117.8788
D. L. Wood Center,,10871 Acacia Pkwy,,Garden Grove,CA,92840,5148,Orange County,,(714) 823-4800,,09CH011146,0,Orange County Head Start,2501 South Pullman Street,Suite 100,Santa Ana,CA,92705,5511,Orange County,(714) 823-4800,(714)241-8920,33.7764,-117.9428
